BusID,GroupID,Permit,VehicleType,YearAcquired,RouteDesignation
JDK 0123,C,SIN,Coach,2020,CW4
JDL 1234,D,MY,Mini Bus,2021,CW2
JDM 2345,E,SIN,Double Decker,2022,CW5
JDN 3456,F,MY,Express,2023,CW6
JDO 4567,A,SIN,School,2024,CW7
JDP 5678,B,MY,City Bus,2016,CW1
JDQ 6789,C,SIN,Coach,2017,CW3
JDR 0123,D,MY,Mini Bus,2018,CW4
JDS 1234,E,SIN,Double Decker,2019,CW2
JDT 2345,F,MY,Express,2020,CW5
JDU 3456,A,SIN,School,2021,CW6
JDV 4567,B,MY,City Bus,2022,CW7
JDW 5678,C,SIN,Coach,2023,CW1
JDX 6789,D,MY,Mini Bus,2024,CW3
JDY 0123,E,SIN,Double Decker,2016,CW4
JDZ 1234,F,MY,Express,2017,CW2
JEA 2345,A,SIN,School,2018,CW5
JEB 3456,B,MY,City Bus,2019,CW6
JEC 4567,C,SIN,Coach,2020,CW7
JED 5678,D,MY,Mini Bus,2021,CW1
JEE 6789,E,SIN,Double Decker,2022,CW3
JEF 0123,F,MY,Express,2023,CW4
JEG 1234,A,SIN,School,2024,CW2
JEH 2345,B,MY,City Bus,2016,CW5
JEI 3456,C,SIN,Coach,2017,CW6
JEJ 4567,D,MY,Mini Bus,2018,CW7
JEK 5678,E,SIN,Double Decker,2019,CW1
JEL 6789,F,MY,Express,2020,CW3
JEM 0123,A,SIN,School,2021,CW4
JEN 1234,B,MY,City Bus,2022,CW2
JEO 2345,C,SIN,Coach,2023,CW5
JEP 3456,D,MY,Mini Bus,2024,CW6
JEQ 4567,E,SIN,Double Decker,2016,CW7
JER 5678,F,MY,Express,2017,CW1
JES 6789,A,SIN,School,2018,CW3
JET 0123,B,MY,City Bus,2019,CW4
JEU 1234,C,SIN,Coach,2020,CW2
JEV 2345,D,MY,Mini Bus,2021,CW5
JEW 3456,E,SIN,Double Decker,2022,CW6
JEX 4567,F,MY,Express,2023,CW7
JEY 5678,A,SIN,School,2024,CW1
JEZ 6789,B,MY,City Bus,2016,CW3
JFA 0123,C,SIN,Coach,2017,CW4
JFB 1234,D,MY,Mini Bus,2018,CW2
JFC 2345,E,SIN,Double Decker,2019,CW5
JFD 3456,F,MY,Express,2020,CW6
JFE 4567,A,SIN,School,2021,CW7
JFF 5678,B,MY,City Bus,2022,CW1
JFG 6789,C,SIN,Coach,2023,CW3
JFH 0123,D,MY,Mini Bus,2024,CW4
JFI 1234,E,SIN,Double Decker,2016,CW2
JFJ 2345,F,MY,Express,2017,CW5
JFK 3456,A,SIN,School,2018,CW6
JFL 4567,B,MY,City Bus,2019,CW7
JFM 5678,C,SIN,Coach,2020,CW1
JFN 6789,D,MY,Mini Bus,2021,CW3
JFO 0123,E,SIN,Double Decker,2022,CW4
JFP 1234,F,MY,Express,2023,CW2
JFQ 2345,A,SIN,School,2024,CW5
JFR 3456,B,MY,City Bus,2016,CW6
JFS 4567,C,SIN,Coach,2017,CW7
JFT 5678,D,MY,Mini Bus,2018,CW1
JFU 6789,E,SIN,Double Decker,2019,CW3
JFV 0123,F,MY,Express,2020,CW4
JFW 1234,A,SIN,School,2021,CW2
JFX 2345,B,MY,City Bus,2022,CW5
JFY 3456,C,SIN,Coach,2023,CW6
JFZ 4567,D,MY,Mini Bus,2024,CW7
JGA 5678,E,SIN,Double Decker,2016,CW1
JGB 6789,F,MY,Express,2017,CW3
JGC 0123,A,SIN,School,2018,CW4
JGD 1234,B,MY,City Bus,2019,CW2
JGE 2345,C,SIN,Coach,2020,CW5
JGF 3456,D,MY,Mini Bus,2021,CW6
JGG 4567,E,SIN,Double Decker,2022,CW7
JGH 5678,F,MY,Express,2023,CW1
JGI 6789,A,SIN,School,2024,CW3
JGJ 0123,B,MY,City Bus,2016,CW4
JGK 1234,C,SIN,Coach,2017,CW2
JGL 2345,D,MY,Mini Bus,2018,CW5
JGM 3456,E,SIN,Double Decker,2019,CW6
